date,David Kelley,Stewart Brand,Jeff Hawkins,Tierney Thys,Iraola,isPartial
2013-08-01,27,11,6,1,19,False
2013-09-01,47,12,5,0,24,False
2013-10-01,41,14,5,1,21,False
2013-11-01,37,15,5,0,19,False
2013-12-01,30,10,5,0,20,False
2014-01-01,32,13,4,0,18,False
2014-02-01,28,11,5,0,20,False
2014-03-01,41,11,5,0,23,False
2014-04-01,35,10,7,0,17,False
2014-05-01,30,8,5,0,20,False
2014-06-01,28,8,6,1,17,False
2014-07-01,35,10,6,0,21,False
2014-08-01,35,14,6,0,27,False
2014-09-01,33,8,5,0,28,False
2014-10-01,26,10,4,0,22,False
2014-11-01,31,12,5,0,21,False
2014-12-01,24,10,6,1,17,False
2015-01-01,27,7,6,0,17,False
2015-02-01,26,10,5,0,21,False
2015-03-01,20,7,6,0,29,False
2015-04-01,25,9,6,1,30,False
2015-05-01,24,8,5,1,80,False
2015-06-01,25,7,5,0,35,False
2015-07-01,24,7,6,0,40,False
2015-08-01,22,9,5,0,28,False
2015-09-01,28,9,5,0,24,False
2015-10-01,27,8,5,1,19,False
2015-11-01,27,8,5,0,18,False
2015-12-01,34,8,4,0,16,False
2016-01-01,25,8,5,0,19,False
2016-02-01,24,7,6,1,19,False
2016-03-01,19,7,5,0,20,False
2016-04-01,24,8,7,1,15,False
2016-05-01,20,8,4,0,26,False
2016-06-01,19,6,4,0,20,False
2016-07-01,21,6,5,0,22,False
2016-08-01,17,7,3,0,14,False
2016-09-01,20,5,5,0,20,False
2016-10-01,24,6,3,0,19,False
2016-11-01,25,7,5,1,27,False
2016-12-01,22,7,5,0,15,False
2017-01-01,29,6,4,0,14,False
2017-02-01,34,7,5,0,17,False
2017-03-01,52,8,7,0,14,False
2017-04-01,41,7,5,0,15,False
2017-05-01,27,6,3,0,19,False
2017-06-01,23,5,4,0,15,False
2017-07-01,26,5,6,0,16,False
2017-08-01,25,6,6,1,14,False
2017-09-01,44,6,5,0,14,False
2017-10-01,22,7,4,1,13,False
2017-11-01,53,7,6,0,11,False
2017-12-01,21,9,4,1,11,False
2018-01-01,49,7,5,0,15,False
2018-02-01,25,8,3,0,13,False
2018-03-01,19,6,6,0,11,False
2018-04-01,22,8,4,0,13,False
2018-05-01,19,8,3,0,14,False
2018-06-01,23,5,4,1,14,False
2018-07-01,21,5,4,0,12,False
2018-08-01,20,5,4,0,14,False
2018-09-01,18,7,3,0,15,False
2018-10-01,20,6,5,0,16,False
2018-11-01,19,6,4,0,13,False
2018-12-01,21,6,3,0,13,False
2019-01-01,22,7,4,0,13,False
2019-02-01,22,5,3,0,15,False
2019-03-01,20,5,3,0,12,False
2019-04-01,24,6,4,0,15,False
2019-05-01,23,6,3,0,13,False
2019-06-01,46,7,4,0,13,False
2019-07-01,52,4,4,0,19,False
2019-08-01,28,5,3,0,16,False
2019-09-01,19,5,3,0,14,False
2019-10-01,25,6,3,0,13,False
2019-11-01,19,5,3,0,13,False
2019-12-01,18,5,1,0,15,False
2020-01-01,20,5,4,0,23,False
2020-02-01,20,5,2,1,43,False
2020-03-01,18,5,3,0,17,False
2020-04-01,26,7,3,1,14,False
2020-05-01,24,6,3,0,11,False
2020-06-01,23,4,2,0,13,False
2020-07-01,20,5,2,0,27,False
2020-08-01,23,5,3,1,21,False
2020-09-01,29,6,4,0,15,False
2020-10-01,36,5,4,0,17,False
